ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,helo,mailfrom,rcptto,date,from,to,cc,reply_to,msg_id,in_reply_to,subject,x_originating_ip,first_received,second_received,last_reply,path,user_agent,tls,fuids,is_webmail,headers1,headers2,headers3,headers4,headers5,headers6,headers7,headers8,headers9,headers10,headers11,headers12,headers13
2024-09-22T21:41:49-0600,CE3bb93Wgl224QIAP6,10.11.75.222,1034,10.11.76.25,25,1,evil.org,evil@evil-org.com,victim@victim-org.com,-,evil@evil-org.com,victim@victim-org.com,-,-,-,-,Important Security Update,-,-,-,250 OK,10.11.76.25,10.11.75.222,-,F,Fu2yS921OOChqEXucg,F,MIME-Version: 1.0,To: victim@victim-org.com,From: evil@evil-org.com,"Content-Type: text/plain; charset=""us-ascii""",Subject: Important Security Update,Content-Transfer-Encoding: 7bit,"Content-Type: multipart/mixed; boundary=""===============7289011322246592247==""",,,,,
2024-09-22T21:41:49-0600,CkL5DDe6HSy6oiyVc,10.11.75.222,1044,10.11.76.25,25,1,evil.org,evil@evil-org.com,victim@victim-org.com,-,evil@evil-org.com,victim@victim-org.com,-,-,-,-,Important Security Update,-,-,-,250 OK,10.11.76.25,10.11.75.222,-,F,FLyXmbwUv7McVUyCl,F,MIME-Version: 1.0,To: victim@victim-org.com,From: evil@evil-org.com,"Content-Type: text/plain; charset=""us-ascii""","Content-Type: multipart/mixed; boundary=""===============5669337030334055637==""",Subject: Important Security Update,Content-Transfer-Encoding: 7bit,,,,,
2024-09-22T21:41:49-0600,CARr6K2MKecn5mi2Qg,10.11.75.222,1054,10.11.76.25,25,1,evil.org,evil@evil-org.com,victim@victim-org.com,-,evil@evil-org.com,victim@victim-org.com,-,-,-,-,Important Security Update,-,-,-,250 OK,10.11.76.25,10.11.75.222,-,F,FI3Fcx1754DRdQhYZ8,F,MIME-Version: 1.0,To: victim@victim-org.com,From: evil@evil-org.com,"Content-Type: text/plain; charset=""us-ascii""",Subject: Important Security Update,Content-Transfer-Encoding: 7bit,"Content-Type: multipart/mixed; boundary=""===============7092168267504819800==""",,,,,
2024-09-22T21:41:49-0600,C08QOw3UpcjAP4Emff,10.11.75.222,1064,10.11.76.25,25,1,evil.org,evil@evil-org.com,victim@victim-org.com,-,evil@evil-org.com,victim@victim-org.com,-,-,-,-,Important Security Update,-,-,-,250 OK,10.11.76.25,10.11.75.222,-,F,FeRnSY2H65ZKFASw4e,F,MIME-Version: 1.0,To: victim@victim-org.com,From: evil@evil-org.com,"Content-Type: text/plain; charset=""us-ascii""",Subject: Important Security Update,"Content-Type: multipart/mixed; boundary=""===============3354422863360739262==""",Content-Transfer-Encoding: 7bit,,,,,
2024-09-22T21:41:49-0600,CL78Xe4CMXN5RFIKQj,10.11.75.222,1074,10.11.76.25,25,1,evil.org,evil@evil-org.com,victim@victim-org.com,-,evil@evil-org.com,victim@victim-org.com,-,-,-,-,Important Security Update,-,-,-,250 OK,10.11.76.25,10.11.75.222,-,F,FxKQzH3sUooMqE8TB4,F,MIME-Version: 1.0,"Content-Type: multipart/mixed; boundary=""===============4160348398733138142==""",To: victim@victim-org.com,From: evil@evil-org.com,"Content-Type: text/plain; charset=""us-ascii""",Subject: Important Security Update,Content-Transfer-Encoding: 7bit,,,,,
2024-09-22T21:41:49-0600,C9tDTb4kFVE4LgDabh,10.11.75.222,1084,10.11.76.25,25,1,evil.org,evil@evil-org.com,victim@victim-org.com,-,evil@evil-org.com,victim@victim-org.com,-,-,-,-,Important Security Update,-,-,-,250 OK,10.11.76.25,10.11.75.222,-,F,FhEEEnVsBz8qnolzi,F,MIME-Version: 1.0,"Content-Type: multipart/mixed; boundary=""===============7585047457358937801==""",From: evil@evil-org.com,To: victim@victim-org.com,"Content-Type: text/plain; charset=""us-ascii""",Subject: Important Security Update,Content-Transfer-Encoding: 7bit,,,,,
2024-09-22T21:41:49-0600,ClnzMl3tOLHZWXe3t,10.11.75.222,1094,10.11.76.25,25,1,evil.org,evil@evil-org.com,victim@victim-org.com,-,evil@evil-org.com,victim@victim-org.com,-,-,-,-,Important Security Update,-,-,-,250 OK,10.11.76.25,10.11.75.222,-,F,FX6NvPJGS8L2bln8e,F,MIME-Version: 1.0,"Content-Type: multipart/mixed; boundary=""===============8514743718898279796==""",To: victim@victim-org.com,From: evil@evil-org.com,"Content-Type: text/plain; charset=""us-ascii""",Subject: Important Security Update,Content-Transfer-Encoding: 7bit,,,,,
2024-09-22T21:41:49-0600,C8365P26p2mBkSIQtf,10.11.75.222,1104,10.11.76.25,25,1,evil.org,evil@evil-org.com,victim@victim-org.com,-,evil@evil-org.com,victim@victim-org.com,-,-,-,-,Important Security Update,-,-,-,250 OK,10.11.76.25,10.11.75.222,-,F,FBUoy1hDqG8HTJui3,F,MIME-Version: 1.0,"Content-Type: multipart/mixed; boundary=""===============3772067472317623094==""",From: evil@evil-org.com,To: victim@victim-org.com,"Content-Type: text/plain; charset=""us-ascii""",Subject: Important Security Update,Content-Transfer-Encoding: 7bit,,,,,
2024-09-22T21:41:49-0600,CvSwFK1Yr4TrsqgPli,10.11.75.222,1114,10.11.76.25,25,1,evil.org,evil@evil-org.com,victim@victim-org.com,-,evil@evil-org.com,victim@victim-org.com,-,-,-,-,Important Security Update,-,-,-,250 OK,10.11.76.25,10.11.75.222,-,F,FRZJhI3IFI2te59ygb,F,MIME-Version: 1.0,"Content-Type: multipart/mixed; boundary=""===============4505989789071385116==""",From: evil@evil-org.com,To: victim@victim-org.com,"Content-Type: text/plain; charset=""us-ascii""",Subject: Important Security Update,Content-Transfer-Encoding: 7bit,,,,,
2024-09-22T21:41:49-0600,C3U2tM3FysvQczMzqf,10.11.75.222,1124,10.11.76.25,25,1,evil.org,evil@evil-org.com,victim@victim-org.com,-,evil@evil-org.com,victim@victim-org.com,-,-,-,-,Important Security Update,-,-,-,250 OK,10.11.76.25,10.11.75.222,-,F,F43hMB3eAHqIggKg0d,F,MIME-Version: 1.0,To: victim@victim-org.com,From: evil@evil-org.com,"Content-Type: text/plain; charset=""us-ascii""",Subject: Important Security Update,"Content-Type: multipart/mixed; boundary=""===============5002777357721235432==""",Content-Transfer-Encoding: 7bit,,,,,
