ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types
2024-09-22T21:41:49-0600,CtGSHl3nUBWasvfz85,10.11.75.222,39999,10.11.76.25,80,1,GET,0xf20b415.ru,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,Fye4uk1efXI1VIqtxh,-,text/html
2024-09-22T21:41:49-0600,CCFocGIgmwxNCqGj,10.11.75.222,39999,10.11.76.25,80,1,GET,13194.funian.life,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,FB1FDi3ifgaZTFCDn9,-,text/html
2024-09-22T21:41:49-0600,CPRwB5gko3eV0zUm1,10.11.75.222,39999,10.11.76.25,80,1,GET,1717.1000uc.com,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,Fg6WBx2d25gpTTAyQa,-,text/html
2024-09-22T21:41:49-0600,CW7Lsj2FfqftmxB2h9,10.11.75.222,39999,10.11.76.25,80,1,GET,2.haory.cn,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,FE8jQN1pnDfJVjP6p6,-,text/html
2024-09-22T21:41:49-0600,Cp545G4M3iLya0pTs4,10.11.75.222,39999,10.11.76.25,80,1,GET,admin.econ.gg,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,FRR3wf3BNV8GbOKH02,-,text/html
2024-09-22T21:41:49-0600,CS0vyp18aX9YxatLb3,10.11.75.222,39999,10.11.76.25,80,1,GET,af.peertube.red,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,Fo2DKd1Ati948Vx6D2,-,text/html
2024-09-22T21:41:49-0600,CcQYPH2XjNzPobBRgf,10.11.75.222,39999,10.11.76.25,80,1,GET,aiiaiafrzrueuedur.net,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,FDDmq14PDLy9tDA96i,-,text/html
2024-09-22T21:41:50-0600,CBfaA23a9TGJTC5LIk,10.11.75.222,39999,10.11.76.25,80,1,GET,aldiablo.cl,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,F8cesv2IpBoyARlbA3,-,text/html
2024-09-22T21:41:50-0600,COPT1r2iqD6jq4hj69,10.11.75.222,39999,10.11.76.25,80,1,GET,amrapaliheartbeatcity.com,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,FNBTNAgHfnJ52Gcs,-,text/html
2024-09-22T21:41:50-0600,CAHD1o2qyNR9Td29Xe,10.11.75.222,39999,10.11.76.25,80,1,GET,apf.ceprone.com,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,FYB5Uw35g35IIkiNZ5,-,text/html
2024-09-22T21:41:50-0600,CW5bbI1FBT2Fhq9blf,10.11.75.222,39999,10.11.76.25,80,1,GET,artmarcas.ceprone.com,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,FFTR3K10I3KZDYUaN7,-,text/html
2024-09-22T21:41:50-0600,CVSR5b4Oaef2kOEUDe,10.11.75.222,39999,10.11.76.25,80,1,GET,atsegypt.com,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,FlcAqQ1kei5x2o8Yk3,-,text/html
2024-09-22T21:41:51-0600,C58rLu4AowMnfXFxG3,10.11.75.222,39999,10.11.76.25,80,1,GET,avast-antivirus.com,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,FIzOBU3nNf5dtniQN9,-,text/html
2024-09-22T21:41:51-0600,CmoAXDzftGLejRHH7,10.11.75.222,39999,10.11.76.25,80,1,GET,avast-antivirusdownload.com,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,FWGEQ14igdx3chn0x6,-,text/html
2024-09-22T21:41:51-0600,CSeAL91VJwCDhacIR5,10.11.75.222,39999,10.11.76.25,80,1,GET,banydox.com,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,F3jcX43HUTnKpUBQg,-,text/html
2024-09-22T21:41:52-0600,CGx0dy2giLrOA43NRe,10.11.75.222,39999,10.11.76.25,80,1,GET,brickkiln.org,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,F18ccdsrxR2V4PP8i,-,text/html
2024-09-22T21:41:52-0600,CIOvfP2mXOt4lzuYp4,10.11.75.222,39999,10.11.76.25,80,1,GET,buscascolegios.diit.cl,/,-,1.1,CustomClient/1.0,-,0,19,200,OK,-,-,(empty),-,-,-,-,-,-,FUZSUz44iH35A1dWn8,-,text/html
