ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,host,url,mail_ts,mail_uid,from,to,subject,referrer
2024-09-22T21:41:49-0600,CtGSHl3nUBWasvfz85,10.11.75.222,39999,10.11.76.25,80,0xf20b415.ru,http://0xf20b415.ru,2024-09-22T21:41:49-0600,CE3bb93Wgl224QIAP6,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:49-0600,CCFocGIgmwxNCqGj,10.11.75.222,39999,10.11.76.25,80,13194.funian.life,http://13194.funian.life,2024-09-22T21:41:49-0600,CkL5DDe6HSy6oiyVc,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:49-0600,CPRwB5gko3eV0zUm1,10.11.75.222,39999,10.11.76.25,80,1717.1000uc.com,http://1717.1000uc.com,2024-09-22T21:41:49-0600,C08QOw3UpcjAP4Emff,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:49-0600,CW7Lsj2FfqftmxB2h9,10.11.75.222,39999,10.11.76.25,80,2.haory.cn,http://2.haory.cn,2024-09-22T21:41:49-0600,CL78Xe4CMXN5RFIKQj,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:49-0600,Cp545G4M3iLya0pTs4,10.11.75.222,39999,10.11.76.25,80,admin.econ.gg,http://admin.econ.gg,2024-09-22T21:41:49-0600,C59zzl1I2zdQUYShG3,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:49-0600,CS0vyp18aX9YxatLb3,10.11.75.222,39999,10.11.76.25,80,af.peertube.red,http://af.peertube.red,2024-09-22T21:41:49-0600,COMHlW2Krl3hv4olPk,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:49-0600,CcQYPH2XjNzPobBRgf,10.11.75.222,39999,10.11.76.25,80,aiiaiafrzrueuedur.net,http://aiiaiafrzrueuedur.net,2024-09-22T21:41:49-0600,CrqHgu1rfqyXvZREU4,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:50-0600,CBfaA23a9TGJTC5LIk,10.11.75.222,39999,10.11.76.25,80,aldiablo.cl,http://aldiablo.cl,2024-09-22T21:41:50-0600,CRyrjs2nWfLhPYjzKj,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:50-0600,COPT1r2iqD6jq4hj69,10.11.75.222,39999,10.11.76.25,80,amrapaliheartbeatcity.com,http://amrapaliheartbeatcity.com,2024-09-22T21:41:50-0600,CUcWAA168oqdrc5q9a,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:50-0600,CAHD1o2qyNR9Td29Xe,10.11.75.222,39999,10.11.76.25,80,apf.ceprone.com,http://apf.ceprone.com,2024-09-22T21:41:50-0600,CaDtBVANiWYLTeuBd,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:50-0600,CW5bbI1FBT2Fhq9blf,10.11.75.222,39999,10.11.76.25,80,artmarcas.ceprone.com,http://artmarcas.ceprone.com,2024-09-22T21:41:50-0600,Cf2ZCj1XPGsIvuXhe6,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:50-0600,CVSR5b4Oaef2kOEUDe,10.11.75.222,39999,10.11.76.25,80,atsegypt.com,http://atsegypt.com,2024-09-22T21:41:50-0600,CsAlMl4jkAvj4B8ykg,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:51-0600,CSeAL91VJwCDhacIR5,10.11.75.222,39999,10.11.76.25,80,banydox.com,http://banydox.com,2024-09-22T21:41:51-0600,C4ZyyM1mMpknfltEAk,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:52-0600,CGx0dy2giLrOA43NRe,10.11.75.222,39999,10.11.76.25,80,brickkiln.org,http://brickkiln.org,2024-09-22T21:41:52-0600,CRyEWW2gknT3srp0gb,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:52-0600,CIOvfP2mXOt4lzuYp4,10.11.75.222,39999,10.11.76.25,80,buscascolegios.diit.cl,http://buscascolegios.diit.cl,2024-09-22T21:41:52-0600,CwLbel4msqQ36ZILI9,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:53-0600,CjmtW03GSWwvWEbfHh,10.11.75.222,39999,10.11.76.25,80,caca.szcoolgame.com,http://caca.szcoolgame.com,2024-09-22T21:41:52-0600,CZVjE9494VCYpTfXSg,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:53-0600,CxBSFU1cC7mzm2kYvj,10.11.75.222,39999,10.11.76.25,80,checkout.ceprone.com,http://checkout.ceprone.com,2024-09-22T21:41:53-0600,CcBirt3R1l5q3mazog,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:54-0600,CHrED941Yy1QmOZ8h3,10.11.75.222,39999,10.11.76.25,80,cloud.antharris.top,http://cloud.antharris.top,2024-09-22T21:41:54-0600,CXTc5skfbqlQto6Ue,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:55-0600,Cj1sTkaTkC6xPr0rc,10.11.75.222,39999,10.11.76.25,80,d.qqzx.cc,http://d.qqzx.cc,2024-09-22T21:41:55-0600,CkQXWrbd6Wv3LtQN2,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:55-0600,CMWQ4b3967T3bQOXae,10.11.75.222,39999,10.11.76.25,80,daretodream.cloud,http://daretodream.cloud,2024-09-22T21:41:55-0600,CjKmp542p8X2929aZ8,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:55-0600,CuNqNZ3Vl5PtNg1h7d,10.11.75.222,39999,10.11.76.25,80,dedecms.xueshenit.com,http://dedecms.xueshenit.com,2024-09-22T21:41:55-0600,CVoG8Y36294o3vNrm7,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:56-0600,CD5pGG1ZRTQ4cIkQu1,10.11.75.222,39999,10.11.76.25,80,dfgdfgfhgjfggedfgdfhvh.xyz,http://dfgdfgfhgjfggedfgdfhvh.xyz,2024-09-22T21:41:56-0600,C8i5Jh1VMBluMPt9Ih,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:56-0600,CE7fL52Notazy8rQI5,10.11.75.222,39999,10.11.76.25,80,dhnconstrucciones.com.ar,http://dhnconstrucciones.com.ar,2024-09-22T21:41:56-0600,CGo0X63aCdOzdu42D3,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:57-0600,CCZw75J5aOP8GjQ48,10.11.75.222,39999,10.11.76.25,80,dl.1003b.56a.com,http://dl.1003b.56a.com,2024-09-22T21:41:57-0600,Cc7f2HoDMNPljrnd9,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:57-0600,CeG5Hw4JGgJavGbbhf,10.11.75.222,39999,10.11.76.25,80,dl.packetstormsecurity.net,http://dl.packetstormsecurity.net,2024-09-22T21:41:57-0600,CyYxU83NH0g5ZACUa,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:57-0600,C0439P1eYjUx3V2Fm6,10.11.75.222,39999,10.11.76.25,80,dnarchitetti.com,http://dnarchitetti.com,2024-09-22T21:41:57-0600,CBwWdq2oNnkh9GQ9Fa,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-22T21:41:59-0600,CzUUW43CUpqxb5S9Id,10.11.75.222,39999,10.11.76.25,80,eb2a.live,http://eb2a.live,2024-09-22T21:41:59-0600,CjVzP21rzJvU1fz1w9,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-23T17:42:14-0600,CpAGy51jJ75tRTndla,10.11.75.222,39999,10.11.76.25,80,1.bdl99down.kukulaa.cn,http://1.bdl99down.kukulaa.cn,2024-09-23T17:42:14-0600,CxS4a93S6zh1ChVOi6,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-23T17:42:14-0600,CAL7tu3QTFBDqql3oe,10.11.75.222,39999,10.11.76.25,80,absa.ceprone.com,http://absa.ceprone.com,2024-09-22T21:41:49-0600,C8365P26p2mBkSIQtf,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-23T17:42:14-0600,CU70j535GU4oGx9Pk8,10.11.75.222,39999,10.11.76.25,80,adf6.adf6.com,http://adf6.adf6.com,2024-09-22T21:41:49-0600,C3U2tM3FysvQczMzqf,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-23T17:42:14-0600,CKWUc3m0s6MGDTtx,10.11.75.222,39999,10.11.76.25,80,admin.antharris.top,http://admin.antharris.top,2024-09-22T21:41:49-0600,CQsiwN11tgQgvQncdc,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
2024-09-23T17:42:14-0600,CATkAi3R8d3FQUQgfe,10.11.75.222,39999,10.11.76.25,80,almrwad.com,http://almrwad.com,2024-09-22T21:41:50-0600,C09YMI2xgl422T2Quk,evil@evil-org.com, victim@victim-org.com ,Important Security Update,(empty)
